alpha,V0,kz,tier,k_mode,xi_sponge,target_tu,bp,cellmult,gamma_loc_pred,group,cost_a5000,stream
0.5,0.1,1.0,int,1,30.0,60.0,14,1,1.0711,magnitude_check,52.2,abi0
1.5,0.05,1.0,int,1,20.0,60.0,14,1,1.0473,magnitude_check,52.2,abi0
2.0,0.08,2.0,int,2,19.0,60.0,14,1,2.14,magnitude_check,52.2,abi0
1.0,0.05,1.5,half,3,45.0,60.0,28,2,1.6303,magnitude_check,104.4,abi0
1.5,0.08,2.5,half,5,31.0,60.0,28,2,2.6413,magnitude_check,104.4,abi0
0.5,0.05,0.5,half,1,29.0,60.0,28,2,0.5008,profile_cascade,104.4,abi0
0.5,0.08,1.0,int,1,38.0,60.0,14,1,1.1076,magnitude_check,52.2,abi1
1.5,0.08,2.0,int,2,25.0,60.0,14,1,2.1232,magnitude_check,52.2,abi1
2.0,0.08,3.0,int,3,28.0,60.0,14,1,3.1763,magnitude_check,52.2,abi1
1.0,0.1,2.5,half,5,38.0,60.0,28,2,2.7691,magnitude_check,104.4,abi1
1.5,0.08,1.5,half,3,19.0,60.0,28,2,1.605,magnitude_check,104.4,abi1
1.0,0.05,1.5,half,3,38.0,60.0,28,2,1.1088,profile_cascade,104.4,abi1
1.0,0.05,1.0,int,1,30.0,60.0,14,1,1.0711,magnitude_check,52.2,abi2
1.5,0.08,3.0,int,3,38.0,60.0,14,1,3.3229,magnitude_check,52.2,abi2
1.0,0.08,2.5,half,5,47.0,60.0,28,2,2.7338,magnitude_check,104.4,abi2
1.5,0.05,1.5,half,3,30.0,60.0,28,2,1.6066,magnitude_check,104.4,abi2
0.5,0.05,0.5,half,1,35.0,60.0,28,2,0.6969,profile_cascade,104.4,abi2
1.0,0.08,1.0,int,1,19.0,60.0,14,1,1.07,magnitude_check,52.2,t126
1.0,0.08,2.0,int,2,38.0,60.0,14,1,2.2153,magnitude_check,52.2,t126
1.5,0.03,1.0,int,1,33.0,60.0,14,1,1.0553,magnitude_check,52.2,t126
2.0,0.03,1.0,int,1,25.0,60.0,14,1,1.0616,magnitude_check,52.2,t126
0.3,0.08,0.5,half,1,31.0,60.0,28,2,0.5283,magnitude_check,104.4,t126
0.5,0.08,0.5,half,1,19.0,60.0,28,2,0.535,magnitude_check,104.4,t126
1.0,0.08,1.5,half,3,28.0,60.0,28,2,1.5882,magnitude_check,104.4,t126
2.0,0.05,1.5,half,3,22.0,60.0,28,2,1.5132,magnitude_check,104.4,t126
0.5,0.05,0.5,half,1,42.0,60.0,28,2,0.9036,profile_cascade,104.4,t126
1.0,0.05,1.5,half,3,33.0,60.0,28,2,0.5994,profile_cascade,104.4,t126
1.0,0.05,1.5,half,3,49.0,60.0,28,2,1.8931,profile_cascade,104.4,t126
1.0,0.1,3.0,int,3,45.0,60.0,14,1,3.2605,magnitude_check,52.2,t133
1.5,0.1,2.0,int,2,20.0,60.0,14,1,2.0945,magnitude_check,52.2,t133
2.0,0.05,2.0,int,2,30.0,60.0,14,1,2.1422,magnitude_check,52.2,t133
2.0,0.1,3.0,int,3,22.0,60.0,14,1,3.0264,magnitude_check,52.2,t133
0.3,0.1,0.5,half,1,25.0,60.0,28,2,0.5308,magnitude_check,104.4,t133
1.0,0.03,0.5,half,1,25.0,60.0,28,2,0.5308,magnitude_check,104.4,t133
1.0,0.1,1.5,half,3,22.0,60.0,28,2,1.5132,magnitude_check,104.4,t133
2.0,0.03,1.5,half,3,38.0,60.0,28,2,1.6615,magnitude_check,104.4,t133
2.0,0.1,2.5,half,5,19.0,60.0,28,2,2.675,magnitude_check,104.4,t133
0.5,0.05,0.5,half,1,50.0,60.0,28,2,1.1267,profile_cascade,104.4,t133
1.0,0.05,1.5,half,3,44.0,60.0,28,2,1.5616,profile_cascade,104.4,t133
1.0,0.1,2.0,int,2,30.0,60.0,14,1,2.1422,magnitude_check,52.2,t140
1.5,0.05,2.0,int,2,40.0,60.0,14,1,2.1658,magnitude_check,52.2,t140
1.5,0.1,3.0,int,3,30.0,60.0,14,1,3.2133,magnitude_check,52.2,t140
2.0,0.05,3.0,int,3,45.0,60.0,14,1,3.2605,magnitude_check,52.2,t140
0.5,0.05,0.5,half,1,30.0,60.0,28,2,0.5355,magnitude_check,104.4,t140
0.5,0.1,1.5,half,3,45.0,60.0,28,2,1.6303,magnitude_check,104.4,t140
1.5,0.1,2.5,half,5,25.0,60.0,28,2,2.654,magnitude_check,104.4,t140
2.0,0.05,2.5,half,5,38.0,60.0,28,2,2.7691,magnitude_check,104.4,t140
2.0,0.08,2.5,half,5,23.0,60.0,28,2,2.5472,magnitude_check,104.4,t140
0.5,0.05,0.5,half,1,24.0,60.0,28,2,0.2992,profile_cascade,104.4,t140
1.0,0.05,1.5,half,3,53.0,60.0,28,2,2.1424,profile_cascade,104.4,t140
