kz,label,status,gamma_sim,r2,t_final
1,cold,ok,0.08431070802338139,0.9978013833173279,65.92926803923241
1,wt2p0,ok,0.09752645209232548,0.9996715649756968,74.9196228298209
1,wt2p5,ok,0.09783444785936735,0.9996550355990302,69.92498128344339
1,wt3p0,ok,0.09796717871905508,0.9996503924016359,67.927124677447
2,cold,ok,0.12797545380555458,0.9999329945345287,56.93891328287856
2,wt2p0,ok,0.15442044341440642,0.9999437686775675,71.92283788736302
2,wt2p5,ok,0.15465218676632927,0.9998825665252574,68.92605301398093
2,wt3p0,ok,0.15433968587394895,0.9998058483127699,66.9281964077224
3,cold,ok,0.12297847506980351,0.9998821280187444,59.93569822337075
3,wt2p0,ok,0.1541208330560406,0.9999823003196394,68.92605301398093
3,wt2p5,ok,0.15471749773554844,0.9999860857824207,69.92498131568722
3,wt3p0,ok,0.15535028770874015,0.9999908607298083,67.92712464499658
4,cold,ok,0.12182001079919684,0.9999353329309127,61.93355486154508
4,wt2p0,ok,0.1496060587609726,0.9999893419256777,66.92819637553002
4,wt2p5,ok,0.14918499332244772,0.9999890755556687,68.92605294715693
4,wt3p0,ok,0.14922176146652893,0.9999845819916985,68.92605294715693
5,cold,ok,0.11826819243329265,0.9999694693481009,45.95070195355832
5,wt2p0,ok,0.16310143307069294,0.9999672221787907,65.92926810605579
5,wt2p5,ok,0.1324623012065318,0.9999584158478266,66.9281964077224
5,wt3p0,ok,0.1325055022063527,0.9999608580043265,68.92605301398093
6,cold,ok,0.12807412542081104,0.9999886250008955,39.957132137690735
6,wt2p0,ok,0.15565244113574916,0.9999603674199053,64.93033973709247
6,wt2p5,ok,0.15577762797102432,0.9999554406416769,65.92926803923241
6,wt3p0,ok,0.1362410574516042,0.9999483954092528,66.92819637553002
7,cold,ok,0.13539300489303654,0.9999887337822249,62.93248313130388
7,wt2p0,ok,0.1589535324113563,0.9999790757408029,64.93033976949918
7,wt2p5,ok,0.15910181430061518,0.9999781177011751,64.93033976949918
7,wt3p0,ok,0.15918487434705103,0.9999739145528349,64.93033976949918
8,cold,ok,0.13891197580467454,0.9999828458540824,45.95070195355832
8,wt2p0,ok,0.16342258792176462,0.9999837398835612,65.92926810605579
8,wt2p5,ok,0.16362522199116075,0.9999832372536746,64.93033976949918
8,wt3p0,ok,0.16375943258604275,0.9999799777509301,64.93033976949918
